en,fr,it,de,es,ko,kana
"Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.","Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.","Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.","Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.","Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.","Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.","Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day."
Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.
"Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.","Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.","Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.","Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.","Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.","Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.","Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off."
It eats its weight in leaves every day. It fends off attackers with the needle on its head.,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
"While awaiting evolution, it hides from predators under leaves and in nooks of branches.","While awaiting evolution, it hides from predators under leaves and in nooks of branches.","While awaiting evolution, it hides from predators under leaves and in nooks of branches.","While awaiting evolution, it hides from predators under leaves and in nooks of branches.","While awaiting evolution, it hides from predators under leaves and in nooks of branches.","While awaiting evolution, it hides from predators under leaves and in nooks of branches.","While awaiting evolution, it hides from predators under leaves and in nooks of branches."
"Its best attack involves flying around at high speed, striking with poison needles, then flying off.","Its best attack involves flying around at high speed, striking with poison needles, then flying off.","Its best attack involves flying around at high speed, striking with poison needles, then flying off.","Its best attack involves flying around at high speed, striking with poison needles, then flying off.","Its best attack involves flying around at high speed, striking with poison needles, then flying off.","Its best attack involves flying around at high speed, striking with poison needles, then flying off.","Its best attack involves flying around at high speed, striking with poison needles, then flying off."
"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.","It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.","It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.","It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.","It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.","It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.","It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."
"It flies over its wide territory in search of prey, downing it with its highly developed claws.","It flies over its wide territory in search of prey, downing it with its highly developed claws.","It flies over its wide territory in search of prey, downing it with its highly developed claws.","It flies over its wide territory in search of prey, downing it with its highly developed claws.","It flies over its wide territory in search of prey, downing it with its highly developed claws.","It flies over its wide territory in search of prey, downing it with its highly developed claws.","It flies over its wide territory in search of prey, downing it with its highly developed claws."
"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.","By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.","By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.","By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.","By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.","By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees.","By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
"Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.","Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.","Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.","Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.","Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.","Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.","Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death."
People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.,People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.,People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.,People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.,People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.,People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.,People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.
Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.,Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.,Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.,Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.,Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.,Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.,Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.
Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash!,Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash!,Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash!,Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash!,Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash!,Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash!,Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash!
"By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests.","By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests.","By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests.","By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests.","By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests.","By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests.","By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests."
The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.,The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.,The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.,The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.,The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.,The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.,The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.
"Its nature is to store up electricity. Forests where nests of Pikachu live are dangerous, since the trees are so often struck by lightning.","Its nature is to store up electricity. Forests where nests of Pikachu live are dangerous, since the trees are so often struck by lightning.","Its nature is to store up electricity. Forests where nests of Pikachu live are dangerous, since the trees are so often struck by lightning.","Its nature is to store up electricity. Forests where nests of Pikachu live are dangerous, since the trees are so often struck by lightning.","Its nature is to store up electricity. Forests where nests of Pikachu live are dangerous, since the trees are so often struck by lightning.","Its nature is to store up electricity. Forests where nests of Pikachu live are dangerous, since the trees are so often struck by lightning.","Its nature is to store up electricity. Forests where nests of Pikachu live are dangerous, since the trees are so often struck by lightning."
"As electricity builds up inside its body, it becomes more aggressive. One theory is that the electricity buildup is actually causing stress.","As electricity builds up inside its body, it becomes more aggressive. One theory is that the electricity buildup is actually causing stress.","As electricity builds up inside its body, it becomes more aggressive. One theory is that the electricity buildup is actually causing stress.","As electricity builds up inside its body, it becomes more aggressive. One theory is that the electricity buildup is actually causing stress.","As electricity builds up inside its body, it becomes more aggressive. One theory is that the electricity buildup is actually causing stress.","As electricity builds up inside its body, it becomes more aggressive. One theory is that the electricity buildup is actually causing stress.","As electricity builds up inside its body, it becomes more aggressive. One theory is that the electricity buildup is actually causing stress."
"It lives in areas of limited rainfall. When danger approaches, it curls up into a ball to protect its soft stomach.","It lives in areas of limited rainfall. When danger approaches, it curls up into a ball to protect its soft stomach.","It lives in areas of limited rainfall. When danger approaches, it curls up into a ball to protect its soft stomach.","It lives in areas of limited rainfall. When danger approaches, it curls up into a ball to protect its soft stomach.","It lives in areas of limited rainfall. When danger approaches, it curls up into a ball to protect its soft stomach.","It lives in areas of limited rainfall. When danger approaches, it curls up into a ball to protect its soft stomach.","It lives in areas of limited rainfall. When danger approaches, it curls up into a ball to protect its soft stomach."
Its claws and horns often break off. The broken claws and horns can be used to carve plows for tilling farm fields.,Its claws and horns often break off. The broken claws and horns can be used to carve plows for tilling farm fields.,Its claws and horns often break off. The broken claws and horns can be used to carve plows for tilling farm fields.,Its claws and horns often break off. The broken claws and horns can be used to carve plows for tilling farm fields.,Its claws and horns often break off. The broken claws and horns can be used to carve plows for tilling farm fields.,Its claws and horns often break off. The broken claws and horns can be used to carve plows for tilling farm fields.,Its claws and horns often break off. The broken claws and horns can be used to carve plows for tilling farm fields.
It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.
"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.","If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.","If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.","If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.","If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.","If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.","If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves."
It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.
"Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.","Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.","Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.","Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.","Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.","Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.","Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with."
It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.
"Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.","Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.","Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.","Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.","Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.","Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.","Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn."
"They’re popular, but they’re rare. Trainers who show them off recklessly may be targeted by thieves.","They’re popular, but they’re rare. Trainers who show them off recklessly may be targeted by thieves.","They’re popular, but they’re rare. Trainers who show them off recklessly may be targeted by thieves.","They’re popular, but they’re rare. Trainers who show them off recklessly may be targeted by thieves.","They’re popular, but they’re rare. Trainers who show them off recklessly may be targeted by thieves.","They’re popular, but they’re rare. Trainers who show them off recklessly may be targeted by thieves.","They’re popular, but they’re rare. Trainers who show them off recklessly may be targeted by thieves."
"It can’t help but hear a pin drop from over half a mile away, so it lives deep in the mountains where there aren’t many people or Pokémon.","It can’t help but hear a pin drop from over half a mile away, so it lives deep in the mountains where there aren’t many people or Pokémon.","It can’t help but hear a pin drop from over half a mile away, so it lives deep in the mountains where there aren’t many people or Pokémon.","It can’t help but hear a pin drop from over half a mile away, so it lives deep in the mountains where there aren’t many people or Pokémon.","It can’t help but hear a pin drop from over half a mile away, so it lives deep in the mountains where there aren’t many people or Pokémon.","It can’t help but hear a pin drop from over half a mile away, so it lives deep in the mountains where there aren’t many people or Pokémon.","It can’t help but hear a pin drop from over half a mile away, so it lives deep in the mountains where there aren’t many people or Pokémon."
"Its beautiful tails have made it very popular. However, if it’s not brushed diligently, it will be a mass of tangles before you know it.","Its beautiful tails have made it very popular. However, if it’s not brushed diligently, it will be a mass of tangles before you know it.","Its beautiful tails have made it very popular. However, if it’s not brushed diligently, it will be a mass of tangles before you know it.","Its beautiful tails have made it very popular. However, if it’s not brushed diligently, it will be a mass of tangles before you know it.","Its beautiful tails have made it very popular. However, if it’s not brushed diligently, it will be a mass of tangles before you know it.","Its beautiful tails have made it very popular. However, if it’s not brushed diligently, it will be a mass of tangles before you know it.","Its beautiful tails have made it very popular. However, if it’s not brushed diligently, it will be a mass of tangles before you know it."
"It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants.","It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants.","It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants.","It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants.","It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants.","It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants.","It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants."
Recordings of Jigglypuff’s strange lullabies can be purchased from department stores. These CDs can be found near the bedding area.,Recordings of Jigglypuff’s strange lullabies can be purchased from department stores. These CDs can be found near the bedding area.,Recordings of Jigglypuff’s strange lullabies can be purchased from department stores. These CDs can be found near the bedding area.,Recordings of Jigglypuff’s strange lullabies can be purchased from department stores. These CDs can be found near the bedding area.,Recordings of Jigglypuff’s strange lullabies can be purchased from department stores. These CDs can be found near the bedding area.,Recordings of Jigglypuff’s strange lullabies can be purchased from department stores. These CDs can be found near the bedding area.,Recordings of Jigglypuff’s strange lullabies can be purchased from department stores. These CDs can be found near the bedding area.
"Thanks to its bouncy body and fine fur, this Pokémon is sought after. Holding one in your arms while you sleep feels great.","Thanks to its bouncy body and fine fur, this Pokémon is sought after. Holding one in your arms while you sleep feels great.","Thanks to its bouncy body and fine fur, this Pokémon is sought after. Holding one in your arms while you sleep feels great.","Thanks to its bouncy body and fine fur, this Pokémon is sought after. Holding one in your arms while you sleep feels great.","Thanks to its bouncy body and fine fur, this Pokémon is sought after. Holding one in your arms while you sleep feels great.","Thanks to its bouncy body and fine fur, this Pokémon is sought after. Holding one in your arms while you sleep feels great.","Thanks to its bouncy body and fine fur, this Pokémon is sought after. Holding one in your arms while you sleep feels great."
"It has no eyeballs, so it can’t see. It checks its surroundings via the ultrasonic waves it emits from its mouth.","It has no eyeballs, so it can’t see. It checks its surroundings via the ultrasonic waves it emits from its mouth.","It has no eyeballs, so it can’t see. It checks its surroundings via the ultrasonic waves it emits from its mouth.","It has no eyeballs, so it can’t see. It checks its surroundings via the ultrasonic waves it emits from its mouth.","It has no eyeballs, so it can’t see. It checks its surroundings via the ultrasonic waves it emits from its mouth.","It has no eyeballs, so it can’t see. It checks its surroundings via the ultrasonic waves it emits from its mouth.","It has no eyeballs, so it can’t see. It checks its surroundings via the ultrasonic waves it emits from its mouth."
"Every once in a while, you’ll see a Golbat that’s missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon.","Every once in a while, you’ll see a Golbat that’s missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon.","Every once in a while, you’ll see a Golbat that’s missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon.","Every once in a while, you’ll see a Golbat that’s missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon.","Every once in a while, you’ll see a Golbat that’s missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon.","Every once in a while, you’ll see a Golbat that’s missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon.","Every once in a while, you’ll see a Golbat that’s missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon."
"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.","During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.","During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.","During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.","During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.","During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.","During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight."
What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.
"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
"Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right.","Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right.","Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right.","Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right.","Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right.","Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right.","Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right."
"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.","The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.","The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.","The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.","The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.","The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.","The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving."
Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.
"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.","The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.","The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.","The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.","The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.","The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.","The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust."
"It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down.","It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down.","It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down.","It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down.","It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down.","It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down.","It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down."
